tgsc	ttl
acidic	
acorn	
alcoholic	alcohol
algae	seaweed
almond bitter almond	bitter almond
 almond roasted almond	 roasted almond
 almond toasted almond	 roasted almond
ammoniacal	ammonia
apple cooked apple	cooked apple
apple dried apple	
apple green apple	green apple
apple skin	
aromatic	
arrack	peanut
astringent	
autumn 	
baked	cooked
banana peel	
banana ripe banana	banana
banana unripe banana	unripe banana
barley roasted barley	roasted barley
bay	berry
bean green bean	green bean
beany	bean
beef juice	
beefy	
beefy roasted beefy	roast beef
berry ripe berry	berry
bitter	
blackberry	mulberry
bois de rose	rosewood
bready	bread
bread baked	bread
bread rye bread	rye bread
brothy	bouillon
brown	
bubble gum	
butterscotch	caramel
buttery	butter
camphoreous	camphor
cananga	ylang
cantaloupe	melon
caramellic	caramel
carrot seed	
cassia	
catty	cat urine
cedar	cedarwood
cheesy	cheese
cheesy bleu cheese	Blue cheese
cheesy feta cheese	feta cheese
cheesy limburger cheese	limburger cheese
cheesy parmesan cheese	parmesan cheese
cheesy roquefort cheese	roquefort cheese
cherry maraschino cherry	maraschino cherry
Chicken roasted chicken	roasted chicken
chocolate dark chocolate	dark chocolate
cilantro	coriander
cinnamyl	cinnamon
citronella	lemongrass
citrus rind	citrus peel
clean	
cloth laundered cloth	
Coffee roasted coffee	roasted coffee
cooling	
corn chip	
cornmeal	
cornmint	
cortex	
coumarinic	 coumarin
creamy	cream
cucumber skin	cucumber
currant black currant	black currant
currant bud black currant bud	 black currant bud
dewy	fresh
dirty	
dry	
egg nog	
eggy	egg
filbert 	hazelnut
fishy 	fish 
fleshy 	
foliage	 leafy
frankincense 	incense
fresh outdoors 	
fruit dried fruit 	dried fruit  
fruit overripe fruit 	
fruit ripe fruit 	
fruit tropical fruit 	  tropical fruit 
fuel 	
fungal 	mushroom
fusel 	amylic
gourmand 	
graham cracker 	
grain toasted grain 	Roasted grain 
grape skin 	
grapefruit peel 	
 grassy	grass
gravy 	
greasy 	Fatty 
guaiacol 	
hairy 	
 hay new mown hay 	  hay 
 hazelnut roasted hazelnut 	  roasted hazelnut 
herbal	grass
 honeydew 	
 jasmin 	  jasmine 
 juicy 	
 juicy fruit 	
 ketonic 	
 kimchi 	
 kokumi	
labdanum	cistus
lactonic	lactone
licorice black licorice	
lily of the valley	muguet
loganberry 	boysenberry 
mace 	nutmeg
malty 	malt 
mandarin 	
 meaty 	cooked meat
 meaty roasted meaty 	cooked meat
 melon rind 	 melon
 melon unripe melon 	
 moldy 	musty
 mossy 	moss
 natural 	
 neroli 	orange blossom
 nut flesh 	  nutty 
 nut skin 	  nutty 
 odorless 	
 onion cooked onion 	  cooked onion 
 onion green onion 	onion
 orange bitter orange 	  bitter orange 
 orangeflower 	orange blossom
orange peel	
 oriental 	
 origanum 	 origanum 
 pea green pea 	  green pea 
 peanut roasted peanut 	roasted peanut
 pear skin 	  pear 
 peely 	
 pepper bell pepper 	  bell pepper 
 pepper black pepper 	  black pepper 
 peppery 	  pepper 
 petal 	
 plum skin 	
 potato baked potato 	  baked potato 
 potato raw potato 	potato
 privetblossom 	  privet 
 pulpy 	
 pungent 	
 raw 	
 rindy 	
 ripe 	
 rooty 	  root 
 rose dried rose 	  rose 
 rose red rose 	  rose 
 rose tea rose 	
 sage 	clary sage
 sage clary sage 	clary sage
 salty 	
 sandy 	
 sausage smoked sausage 	smoked meat
 savory 	
 seashore 	
 seedy 	
 sharp 	
 soft 	
 sour 	
 starchy 	
storax	
 stringent 	
 styrene 	
 sugar 	
 sugar brown sugar 	caramel
 sugar burnt sugar 	  burnt sugar 
 sulfurous	sulphurous
 taco 	
 tart 	
 tea black tea 	  tea 
 tea green tea 	  tea 
 terpenic 	
 thujonic 	
 toasted 	roasted
 tropical 	  tropical fruit 
 turnup 	
 tutti frutti 	
 umami 	
 violet leaf 	  violet 
 warm 	
 watermelon rind 	
 watery 	
 waxy 	
 weedy 	grass
 wet 	
woody burnt wood	 burnt wood
woody oak wood	oak wood
woody old wood	
wormwood	absinthe
yeasty	yeast
zesty	citrus peel
